TRAVEL_ID,recommend_result_place
b_b000733,"['맹방해수욕장', '쏠비치 삼척', '삼척해변', '삼척중앙시장']"
b_b011136,"['수로왕릉', '연지공원', '롯데프리미엄아울렛 김해점']"
b_b002297,"['정동심곡 바다부채길', '정동진해변', '하슬라아트월드', '강문해변', '인구해변', '주문진해변', '낙산사', '경포대', '아르떼뮤지엄 강릉', '경포해수욕장']"
b_b006877,['간절곶']
b_b000405,"['주문진해변', '정동심곡 바다부채길', '하슬라아트월드', '정동진해변', '사근진해변', '경포대', '경포호', '아르떼뮤지엄 강릉', '허균허난설헌기념공원', '경포해수욕장']"
b_b004823,['간절곶']
b_b014821,"['삼정타워', '송도해상케이블카 송도베이스테이션', '전포카페거리', '롯데백화점 부산본점']"
b_b005653,"['경상남도수목원', '진주성', '진주남강유등축제']"
b_b008075,"['외옹치 바다향기로', '영금정', '속초해수욕장', '갯배st 속초청년몰', '청초호수공원', '설악산소공원', '영랑호', '외옹치해변', '속초아이', '등대해수욕장']"
b_b008387,"['광안리해수욕장', '롯데백화점 광복점', '부평깡통시장', 'BIFF광장', '자갈치시장', '국제시장', '롯데마트 광복점', '용두산공원', '다이아몬드타워', '밀락 더 마켓']"
b_b016469,"['뮤지엄산', '소금산출렁다리']"
b_b011032,
b_b007693,"['황산공원', '간절곶', '통도사']"
b_b000981,"['영랑호', '설악산소공원', '속초관광수산시장', '외옹치해변', '설악케이블카', '외옹치 바다향기로', '갯배st 속초청년몰', '이마트 속초점', '속초해수욕장', '등대해수욕장']"
b_b005145,"['경주역사유적지구', '국립경주박물관', '캘리포니아비치', '보문호', '금관총', '석굴암', '월정교', '경주월드', '경주핑크뮬리군락지', '동궁과월지']"
b_b003938,"['신세계백화점 센텀시티점', '송정해수욕장', '센텀시티 스파랜드', '해운대해수욕장', '청사포다릿돌전망대', '해운대블루라인파크 미포정거장', '벡스코', '해운대블루라인파크 청사포정거장', '동백섬', '해운대블루라인파크 송정정거장']"
b_b004694,"['경상남도수목원', '진주성', '진주남강유등축제']"
b_b006887,"['설악산소공원', '영랑호', '속초아이', '속초관광수산시장', '갯배st 속초청년몰', '외옹치 바다향기로', '영금정', '설악케이블카', '등대해수욕장', '외옹치해변']"
b_b002682,"['송정해수욕장', '청사포다릿돌전망대', '해운대해수욕장', '센텀시티 스파랜드', '흰여울문화마을', '동백섬', '해운대블루라인파크 청사포정거장', '부평깡통시장', '자갈치시장', '롯데마트 광복점']"
b_b001084,"['속초해수욕장', '외옹치해변', '외옹치 바다향기로', '영금정', '영랑호', '속초아이', '갯배st 속초청년몰', '청초호수공원', '설악산소공원', '속초관광수산시장']"
b_b005433,"['흰여울문화마을', '태종대유원지']"
b_b004928,"['호미곶', '영일대해수욕장', '환호공원 스페이스워크', '죽도시장', '구룡포일본인가옥거리']"
b_b000406,"['휴휴암', '속초해수욕장', '영랑호', '낙산사', '속초아이', '외옹치해변', '인구해변', '외옹치 바다향기로', '설악산소공원', '영금정']"
b_b000439,"['추암촛대바위', '망상해변', '논골담길', '도째비골스카이밸리', '어달해변', '천곡황금박쥐동굴']"
b_b001428,"['국립경주박물관', '경주월드', '경주역사유적지구', '캘리포니아비치', '보문호', '첨성대', '경주보문관광단지', '대릉원', '황리단길', '불국사']"
b_b011132,"['춘천삼악산호수케이블카', '남이섬', '이마트 춘천점', '김유정문학촌', '레고랜드코리아리조트', '청평사', '소양강스카이워크']"
b_b011214,['임고서원']
b_b007443,"['태화강국가정원', '태화강국가정원 십리대숲', '울산시립미술관']"
b_b002135,"['영랑호', '외옹치해변', '등대해수욕장', '설악산소공원', '영금정', '청초호수공원', '외옹치 바다향기로', '속초해수욕장', '갯배st 속초청년몰', '설악케이블카']"
b_b001145,"['센텀시티 스파랜드', '송정해수욕장', '해운대해수욕장', '해운대블루라인파크 청사포정거장', '신세계백화점 센텀시티점', '해운대블루라인파크 미포정거장', '롯데마트 광복점', '청사포다릿돌전망대', '동백섬', '국제시장']"
b_b010102,"['월영교', '병산서원', '낙강물길공원', '안동하회마을', '부용대', '만휴정']"
b_b009849,"['광안리해수욕장', '흰여울문화마을', '태종대유원지', '밀락 더 마켓']"
b_b018519,"['호미곶', '영일대해수욕장', '죽도시장', '환호공원 스페이스워크', '구룡포일본인가옥거리']"
b_b004989,['간절곶']
b_b004417,"['주문진해변', '하슬라아트월드', '정동심곡 바다부채길', '정동진해변', '영랑호', '아르떼뮤지엄 강릉', '홈플러스 강릉점', '속초해수욕장', '경포대', '외옹치 바다향기로']"
b_b015115,"['캘리포니아비치', '보문호', '경주월드', '월정교', '경주역사유적지구', '국립경주박물관', '석굴암', '금관총', '동궁과월지', '경주오릉']"
b_b013701,['고석정꽃밭']
b_b009230,"['이케아 동부산점', '해동용궁사', '롯데월드 어드벤처 부산', '롯데프리미엄아울렛 동부산점']"
b_b008570,"['월영교', '낙강물길공원', '병산서원', '부용대', '안동하회마을', '만휴정']"
b_b002621,"['송정해수욕장', '센텀시티 스파랜드', '해운대해수욕장', '해운대블루라인파크 청사포정거장', '흰여울문화마을', '청사포다릿돌전망대', '신세계백화점 센텀시티점', '태종대유원지', '동백섬', '해운대블루라인파크 미포정거장']"
b_b011418,"['태화강국가정원 십리대숲', '태화강국가정원', '울산시립미술관']"
b_b004542,"['경주월드', '첨성대', '국립경주박물관', '보문호', '캘리포니아비치', '월정교', '대릉원', '경주역사유적지구', '불국사', '동궁과월지']"
b_b008199,"['정동심곡 바다부채길', '정동진해변', '하슬라아트월드', '경포호', '주문진해변', '경포대', '강문해변', '아르떼뮤지엄 강릉', '경포해수욕장', '홈플러스 강릉점']"
b_b015952,"['남이섬', '춘천삼악산호수케이블카', '이마트 춘천점', '김유정문학촌', '청평사', '레고랜드코리아리조트', '소양강스카이워크']"
b_b007551,"['해동용궁사', '이케아 동부산점', '광안리해수욕장', '롯데월드 어드벤처 부산', '롯데프리미엄아울렛 동부산점', '밀락 더 마켓']"
b_b003788,"['태화강국가정원', '태화강국가정원 십리대숲', '울산시립미술관']"
b_b014102,['고석정꽃밭']
b_b018552,"['연지공원', '수로왕릉', '롯데프리미엄아울렛 김해점']"
b_b004917,"['남이섬', '이마트 춘천점', '청평사', '춘천삼악산호수케이블카', '김유정문학촌', '레고랜드코리아리조트', '소양강스카이워크']"
b_b002738,"['경주월드', '캘리포니아비치', '보문호', '국립경주박물관', '경주역사유적지구', '금관총', '월정교', '석굴암', '경주오릉', '동궁과월지']"
b_b004913,"['소노벨비발디파크', '비발디파크 오션월드']"
b_b000609,"['홈플러스 강릉점', '사천진해변', '허균허난설헌기념관', '경포아쿠아리움', '주문진수산물 좌판풍물시장', '주문진해변', '경포대', '허균허난설헌기념공원', '안목해변', '정동진해변']"
b_b007326,"['속초해수욕장', '영랑호', '청초호수공원', '영금정', '외옹치해변', '설악산소공원', '갯배st 속초청년몰', '외옹치 바다향기로', '속초아이', '등대해수욕장']"
b_b015712,"['설악산소공원', '외옹치 바다향기로', '영랑호', '오대산월정사 전나무숲길', '갯배st 속초청년몰', '등대해수욕장', '속초해수욕장', '청초호수공원', '외옹치해변', '영금정']"
b_b018541,"['경주월드', '보문호', '경주역사유적지구', '캘리포니아비치', '국립경주박물관', '월정교', '동궁과월지', '첨성대', '황리단길', '경주핑크뮬리군락지']"
b_b016518,"['월정교', '경주역사유적지구', '국립경주박물관', '동궁과월지', '보문호', '대릉원', '첨성대', '황리단길', '경주월드', '금관총']"
b_b004679,"['영랑호', '속초아이', '영금정', '설악케이블카', '외옹치 바다향기로', '갯배st 속초청년몰', '청초호수공원', '등대해수욕장', '속초관광수산시장', '설악산소공원']"
b_b005828,"['하이원 워터월드', '파크로쉬리조트앤웰니스', '정선아리랑시장']"
b_b012207,"['국립경주박물관', '경주역사유적지구', '캘리포니아비치', '경주월드', '불국사', '보문호', '첨성대', '황리단길', '경주엑스포대공원', '석굴암']"
b_b005747,"['영금정', '영랑호', '설악산소공원', '청초호수공원', '갯배st 속초청년몰', '외옹치해변', '속초아이', '속초관광수산시장', '외옹치 바다향기로', '등대해수욕장']"
b_b011679,"['이케아 동부산점', '해동용궁사', '롯데월드 어드벤처 부산', '롯데프리미엄아울렛 동부산점']"
b_b004382,"['춘천삼악산호수케이블카', '남이섬', '이마트 춘천점', '김유정문학촌', '청평사', '레고랜드코리아리조트', '소양강스카이워크']"
b_b015139,"['주문진해변', '정동심곡 바다부채길', '정동진해변', '경포대', '경포호', '아르떼뮤지엄 강릉', '홈플러스 강릉점', '하슬라아트월드', '사근진해변', '허균허난설헌기념관']"
b_b015858,"['해운대해수욕장', '송정해수욕장', '센텀시티 스파랜드', '신세계백화점 센텀시티점', '청사포다릿돌전망대', '동백섬', '해운대블루라인파크 청사포정거장', '벡스코', '해운대블루라인파크 미포정거장', '해운대블루라인파크 송정정거장']"
b_b011705,['고석정꽃밭']
b_b006632,
b_b005015,"['황매산군립공원', '합천영상테마파크']"
b_b011645,"['남이섬', '춘천삼악산호수케이블카', '이마트 춘천점', '김유정문학촌', '청평사', '레고랜드코리아리조트', '소양강스카이워크']"
b_b004851,"['영금정', '외옹치 바다향기로', '휴휴암', '외옹치해변', '속초아이', '청초호수공원', '서피비치', '정암해변', '영랑호', '인구해변']"
b_b004095,"['소노벨비발디파크', '비발디파크 오션월드']"
b_b018621,"['국제시장', '자갈치시장', 'BIFF광장', '롯데백화점 광복점', '용두산공원', '다이아몬드타워', '부평깡통시장', '롯데마트 광복점', '보수동책방골목']"
b_b000196,"['환호공원 스페이스워크', '영일대해수욕장', '호미곶', '구룡포일본인가옥거리', '죽도시장']"
b_b004964,"['경주월드', '국립경주박물관', '경주역사유적지구', '보문호', '캘리포니아비치', '대릉원', '첨성대', '월정교', '석굴암', '경주핑크뮬리군락지']"
b_b011299,['고석정꽃밭']
b_b003034,"['하슬라아트월드', '주문진해변', '아르떼뮤지엄 강릉', '경포대', '사천진해변', '정동심곡 바다부채길', '홈플러스 강릉점', '사근진해변', '경포아쿠아리움', '허균허난설헌기념관']"
b_b011578,"['경상남도수목원', '진주성', '진주남강유등축제']"
b_b011154,"['캘리포니아비치', '경주월드', '첨성대', '보문호', '월정교', '경주역사유적지구', '국립경주박물관', '불국사', '금관총', '보문정']"
b_b000486,"['환호공원 스페이스워크', '죽도시장', '호미곶', '영일대해수욕장', '구룡포일본인가옥거리']"
b_b011036,"['남이섬', '춘천삼악산호수케이블카', '이마트 춘천점', '청평사', '김유정문학촌', '레고랜드코리아리조트', '소양강스카이워크']"
b_b013656,"['해운대해수욕장', '송정해수욕장', '해동용궁사', '청사포다릿돌전망대', '센텀시티 스파랜드', '해운대블루라인파크 청사포정거장', '이케아 동부산점', '동백섬', '신세계백화점 센텀시티점', '해운대블루라인파크 미포정거장']"
b_b005315,"['송정해수욕장', '센텀시티 스파랜드', '청사포다릿돌전망대', '해운대해수욕장', '해운대블루라인파크 청사포정거장', '신세계백화점 센텀시티점', '동백섬', '벡스코', '해운대블루라인파크 미포정거장', '해운대블루라인파크 송정정거장']"
b_b006894,"['남이섬', '춘천삼악산호수케이블카', '이마트 춘천점', '김유정문학촌', '청평사', '레고랜드코리아리조트', '소양강스카이워크']"
b_b000747,"['하슬라아트월드', '주문진해변', '정동심곡 바다부채길', '아르떼뮤지엄 강릉', '사근진해변', '홈플러스 강릉점', '경포대', '정동진해변', '경포아쿠아리움', '경포해수욕장']"
b_b016586,"['정동심곡 바다부채길', '주문진해변', '정동진해변', '하슬라아트월드', '아르떼뮤지엄 강릉', '사근진해변', '홈플러스 강릉점', '강문해변', '경포호', '경포대']"
c_c002456,"['경주월드', '캘리포니아비치', '보문호', '국립경주박물관', '경주엑스포대공원', '석굴암', '경주역사유적지구', '경주오릉', '월정교', '보문정']"
b_b007967,"['주문진해변', '정동심곡 바다부채길', '하슬라아트월드', '정동진해변', '사근진해변', '허균허난설헌기념공원', '경포해수욕장', '아르떼뮤지엄 강릉', '경포호', '홈플러스 강릉점']"
b_b000645,"['청사포다릿돌전망대', '송정해수욕장', '센텀시티 스파랜드', '해운대해수욕장', '해운대블루라인파크 청사포정거장', '동백섬', '신세계백화점 센텀시티점', '해운대블루라인파크 송정정거장', '해운대블루라인파크 미포정거장', '벡스코']"
b_b005369,"['센텀시티 스파랜드', '해운대해수욕장', '청사포다릿돌전망대', '송정해수욕장', '해운대블루라인파크 청사포정거장', '해운대블루라인파크 송정정거장', '신세계백화점 센텀시티점', '벡스코', '감천문화마을', '국제시장']"
b_b005890,"['국립경주박물관', '경주월드', '경주역사유적지구', '보문호', '금관총', '캘리포니아비치', '대릉원', '월정교', '석굴암', '경주엑스포대공원']"
b_b011294,"['황산공원', '통도사']"
b_b006568,"['경주월드', '보문호', '월정교', '경주역사유적지구', '국립경주박물관', '동궁과월지', '캘리포니아비치', '경주엑스포대공원', '황리단길', '불국사']"
b_b007683,
b_b004934,"['인구해변', '낙산해변', '서피비치', '휴휴암', '낙산사', '정암해변', '설악산', '양양전통시장']"
b_b011562,"['하슬라아트월드', '정동심곡 바다부채길', '아르떼뮤지엄 강릉', '주문진해변', '정동진해변', '논골담길', '강문해변', '경포호', '망상해변', '허균허난설헌기념공원']"
b_b013717,['장생포고래박물관']
b_b003930,"['금관총', '경주역사유적지구', '국립경주박물관', '동궁과월지', '보문호', '월정교', '경주월드', '캘리포니아비치', '대릉원', '첨성대']"
b_b005821,"['경주월드', '캘리포니아비치', '국립경주박물관', '경주역사유적지구', '황리단길', '월정교', '보문호', '금관총', '대릉원', '경주보문관광단지']"
b_b011641,"['보문호', '캘리포니아비치', '경주월드', '경주엑스포대공원', '대릉원', '첨성대', '월정교', '경주역사유적지구', '석굴암', '경주보문관광단지']"
b_b018622,"['광안리해수욕장', '삼정타워', '전포카페거리', '롯데백화점 부산본점', '밀락 더 마켓']"
b_b012387,
b_b003912,"['대관령양떼목장', '오대산월정사 전나무숲길', '발왕산관광케이블카', '월정사', '휘닉스평창 블루캐니언', '대관령삼양목장']"
b_b001417,"['송정해수욕장', '해운대해수욕장', '광안리해수욕장', '센텀시티 스파랜드', '청사포다릿돌전망대', '해동용궁사', '흰여울문화마을', '해운대블루라인파크 청사포정거장', '이케아 동부산점', '동백섬']"
b_b004021,"['주문진해변', '정동심곡 바다부채길', '정동진해변', '허균허난설헌기념공원', '경포호', '강릉중앙시장', '하슬라아트월드', '경포대', '경포해수욕장', '아르떼뮤지엄 강릉']"
b_b003967,"['연지공원', '수로왕릉', '롯데프리미엄아울렛 김해점']"
c_c009415,"['경주월드', '국립경주박물관', '캘리포니아비치', '경주엑스포대공원', '보문호', '월정교', '석굴암', '불국사', '경주역사유적지구', '교촌마을']"
b_b007073,
b_b018631,"['주문진해변', '정동심곡 바다부채길', '하슬라아트월드', '경포호', '정동진해변', '경포대', '홈플러스 강릉점', '허균허난설헌기념공원', '허균허난설헌기념관', '사근진해변']"
b_b005604,"['태화강국가정원', '장생포고래박물관', '태화강국가정원 십리대숲', '울산시립미술관']"
b_b003996,"['김유정문학촌', '남이섬', '청평사', '이마트 춘천점', '춘천삼악산호수케이블카', '소양강스카이워크', '레고랜드코리아리조트']"
b_b000709,"['맹방해수욕장', '뮤지엄산', '소금산출렁다리', '논골담길', '추암촛대바위', '쏠비치 삼척', '천곡황금박쥐동굴', '망상해변', '도째비골스카이밸리', '어달해변']"
b_b005867,"['황리단길', '보문호', '불국사', '동궁과월지', '캘리포니아비치', '교촌마을', '보문정', '월정교', '경주월드', '경주보문관광단지']"
b_b006511,"['양양전통시장', '서피비치', '휴휴암', '낙산해변', '인구해변', '정암해변', '낙산사', '설악산']"
b_b007961,"['국립경주박물관', '경주역사유적지구', '첨성대', '보문호', '황리단길', '캘리포니아비치', '대릉원', '경주엑스포대공원', '금관총', '경주월드']"
b_b003356,"['설악산소공원', '영랑호', '속초관광수산시장', '속초아이', '외옹치해변', '영금정', '외옹치 바다향기로', '등대해수욕장', '속초해수욕장', '설악케이블카']"
b_b002690,"['홈플러스 강릉점', '하슬라아트월드', '주문진해변', '정동심곡 바다부채길', '아르떼뮤지엄 강릉', '갯배st 속초청년몰', '경포대', '외옹치 바다향기로', '사근진해변', '영금정']"
b_b001785,"['경주월드', '국립경주박물관', '경주역사유적지구', '보문호', '경주엑스포대공원', '석굴암', '경주오릉', '캘리포니아비치', '보문정', '경주핑크뮬리군락지']"
b_b000204,"['소수서원', '무섬마을']"
b_b010828,"['캘리포니아비치', '국립경주박물관', '보문호', '경주역사유적지구', '황리단길', '불국사', '경주보문관광단지', '석굴암', '대릉원', '경주엑스포대공원']"
b_b010817,"['경상남도수목원', '진주성', '진주남강유등축제']"
b_b000937,"['영금정', '설악산소공원', '영랑호', '속초아이', '갯배st 속초청년몰', '설악케이블카', '외옹치해변', '외옹치 바다향기로', '등대해수욕장', '청초호수공원']"
b_b006153,"['대왕암공원', '대왕암공원 출렁다리']"
b_b005580,"['주문진해변', '정동심곡 바다부채길', '정동진해변', '하슬라아트월드', '경포대', '경포해수욕장', '홈플러스 강릉점', '허균허난설헌기념관', '아르떼뮤지엄 강릉', '허균허난설헌기념공원']"
b_b018659,"['호미곶', '영일대해수욕장', '구룡포일본인가옥거리', '죽도시장', '환호공원 스페이스워크']"
b_b003873,"['소금산출렁다리', '뮤지엄산']"
b_b004617,"['정동심곡 바다부채길', '주문진해변', '남이섬', '정동진해변', '하슬라아트월드', '경포해수욕장', '경포대', '안목해변', '주문진수산물 좌판풍물시장', '사천진해변']"
b_b010991,"['남이섬', '춘천삼악산호수케이블카', '청평사', '김유정문학촌', '이마트 춘천점', '레고랜드코리아리조트', '소양강스카이워크']"
b_b009392,"['광안리해수욕장', '삼정타워', '전포카페거리', '롯데백화점 부산본점', '밀락 더 마켓']"
b_b006596,"['정동심곡 바다부채길', '홈플러스 강릉점', '하슬라아트월드', '주문진해변', '경포대', '정동진해변', '사천진해변', '주문진수산물 좌판풍물시장', '사근진해변', '경포아쿠아리움']"
b_b006270,"['보문호', '경주역사유적지구', '캘리포니아비치', '경주월드', '첨성대', '월정교', '대릉원', '경주보문관광단지', '황리단길', '경주엑스포대공원']"
b_b002058,"['주문진해변', '하슬라아트월드', '정동심곡 바다부채길', '경포대', '아르떼뮤지엄 강릉', '홈플러스 강릉점', '정동진해변', '경포호', '영랑호', '영금정']"
b_b002127,"['설악산소공원', '영랑호', '외옹치해변', '청초호수공원', '영금정', '등대해수욕장', '외옹치 바다향기로', '설악케이블카', '속초해수욕장', '갯배st 속초청년몰']"
b_b011676,"['불국사', '석굴암', '국립경주박물관', '캘리포니아비치', '경주보문관광단지', '경주역사유적지구', '경주엑스포대공원', '보문호', '경주월드', '월정교']"
b_b001501,
b_b004101,['수성못']
b_b005066,"['남이섬', '춘천삼악산호수케이블카', '김유정문학촌', '이마트 춘천점', '청평사', '레고랜드코리아리조트', '소양강스카이워크']"
b_b006840,"['남이섬', '춘천삼악산호수케이블카', '김유정문학촌', '이마트 춘천점', '레고랜드코리아리조트', '청평사', '소양강스카이워크']"
b_b005033,"['청라언덕', '스파크랜드', '동성로로데오거리', '서문시장', '현대백화점 대구점', '주교좌계산대성당', '김광석다시그리기길', '대구근대역사관']"
b_b013751,
b_b004950,"['보문호', '경주역사유적지구', '캘리포니아비치', '경주월드', '국립경주박물관', '금관총', '대릉원', '경주엑스포대공원', '첨성대', '월정교']"
b_b007455,
b_b008031,"['경주월드', '석굴암', '캘리포니아비치', '보문호', '경주역사유적지구', '국립경주박물관', '경주보문관광단지', '홈플러스 경주점', '경주오릉', '분황사']"
b_b011196,"['남이섬', '춘천삼악산호수케이블카', '이마트 춘천점', '김유정문학촌', '청평사', '레고랜드코리아리조트', '소양강스카이워크']"
b_b010105,"['남이섬', '이마트 춘천점', '춘천삼악산호수케이블카', '청평사', '김유정문학촌', '레고랜드코리아리조트', '소양강스카이워크']"
b_b005465,"['주문진해변', '정동심곡 바다부채길', '경포호', '정동진해변', '하슬라아트월드', '경포대', '영금정', '아르떼뮤지엄 강릉', '사근진해변', '홈플러스 강릉점']"
b_b009796,"['보문호', '경주역사유적지구', '캘리포니아비치', '월정교', '경주월드', '동궁과월지', '국립경주박물관', '대릉원', '첨성대', '황리단길']"
b_b004609,"['외옹치해변', '속초해수욕장', '외옹치 바다향기로', '영금정', '영랑호', '등대해수욕장', '설악산소공원', '청초호수공원', '속초아이', '갯배st 속초청년몰']"
b_b015975,"['월정교', '캘리포니아비치', '경주월드', '황리단길', '보문호', '동궁과월지', '석굴암', '경주역사유적지구', '대릉원', '불국사']"
b_b013759,"['호미곶', '환호공원 스페이스워크', '영일대해수욕장', '구룡포일본인가옥거리', '죽도시장']"
b_b007063,"['센텀시티 스파랜드', '청사포다릿돌전망대', '송정해수욕장', '해운대해수욕장', '동백섬', '해운대블루라인파크 청사포정거장', '신세계백화점 센텀시티점', '해운대블루라인파크 미포정거장', '해운대전통시장', '벡스코']"
b_b000524,"['환호공원 스페이스워크', '호미곶', '구룡포일본인가옥거리', '죽도시장', '영일대해수욕장']"
b_b016058,"['경주역사유적지구', '국립경주박물관', '경주엑스포대공원', '보문호', '경주핑크뮬리군락지', '금관총', '보문정', '경주월드', '월정교', '대릉원']"
b_b005227,"['불국사', '경주월드', '캘리포니아비치', '경주엑스포대공원', '석굴암', '국립경주박물관', '경주역사유적지구', '경주보문관광단지', '보문호', '경주핑크뮬리군락지']"
b_b012391,"['태화강국가정원 십리대숲', '태화강국가정원', '장생포고래박물관', '간절곶', '울산시립미술관']"
b_b006434,"['화암사', '송지호해수욕장', '통일전망대', '고성왕곡마을', 'DMZ박물관']"
b_b015228,"['경주역사유적지구', '보문호', '경주월드', '캘리포니아비치', '월정교', '동궁과월지', '불국사', '황리단길', '석굴암', '대릉원']"
b_b000819,"['한반도지형', '영월서부시장', '장릉', '영월관광센터']"
b_b009997,"['주문진해변', '정동심곡 바다부채길', '정동진해변', '경포대', '사근진해변', '홈플러스 강릉점', '낙산해변', '하슬라아트월드', '아르떼뮤지엄 강릉', '정암해변']"
b_b013697,"['하슬라아트월드', '아르떼뮤지엄 강릉', '주문진해변', '정동심곡 바다부채길', '정동진해변', '사근진해변', '홈플러스 강릉점', '사천진해변', '경포대', '경포아쿠아리움']"
b_b004458,"['영랑호', '외옹치 바다향기로', '속초아이', '영금정', '설악산소공원', '갯배st 속초청년몰', '속초관광수산시장', '외옹치해변', '속초해수욕장', '이마트 속초점']"
b_b010253,
b_b009386,"['신세계백화점 대구점', '팔공산케이블카']"
b_b004274,"['국립경주박물관', '경주역사유적지구', '월정교', '경주월드', '대릉원', '캘리포니아비치', '금관총', '보문호', '불국사', '첨성대']"
b_b000838,"['보문호', '경주월드', '불국사', '국립경주박물관', '경주역사유적지구', '캘리포니아비치', '경주엑스포대공원', '황리단길', '월정교', '대릉원']"
b_b012640,"['영랑호', '설악케이블카', '영금정', '설악산소공원', '외옹치 바다향기로', '갯배st 속초청년몰', '외옹치해변', '속초아이', '청초호수공원', '등대해수욕장']"
b_b006473,"['청사포다릿돌전망대', '센텀시티 스파랜드', '송정해수욕장', '해운대블루라인파크 청사포정거장', '동백섬', '해운대해수욕장', '신세계백화점 센텀시티점', '해운대블루라인파크 송정정거장', '벡스코', '해운대전통시장']"
b_b018468,"['팔공산케이블카', '신세계백화점 대구점']"
b_b007137,"['대왕암공원', '대왕암공원 출렁다리']"
b_b005093,"['광안리해수욕장', '밀락 더 마켓']"
b_b012278,"['광안리해수욕장', '해동용궁사', '이케아 동부산점', '롯데월드 어드벤처 부산', '밀락 더 마켓', '롯데프리미엄아울렛 동부산점']"
b_b012323,"['83타워', '팔공산케이블카', '신세계백화점 대구점']"
b_b003096,"['경주월드', '월정교', '보문호', '국립경주박물관', '캘리포니아비치', '경주역사유적지구', '대릉원', '동궁과월지', '첨성대', '금관총']"
b_b007426,"['주문진해변', '정동심곡 바다부채길', '경포호', '경포대', '하슬라아트월드', '정동진해변', '아르떼뮤지엄 강릉', '홈플러스 강릉점', '허균허난설헌기념공원', '사근진해변']"
b_b014093,"['보문호', '경주역사유적지구', '국립경주박물관', '경주월드', '캘리포니아비치', '금관총', '석굴암', '경주오릉', '경주핑크뮬리군락지', '불국사']"
